epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.30126893520355225,9.999999747378752e-05,2.100292444229126,0.5414285659790039,1.6253914833068848
1,0.5178059935569763,9.999999747378752e-05,1.493477463722229,0.6657142639160156,1.3650741577148438
2,0.5669258832931519,9.999999747378752e-05,1.3797917366027832,0.7157142758369446,1.1973575353622437
3,0.6152271628379822,9.999999747378752e-05,1.2801190614700317,0.7514285445213318,1.0713719129562378
4,0.6467458009719849,9.999999747378752e-05,1.213083267211914,0.7685714364051819,1.0112909078598022
5,0.6835857629776001,9.999999747378752e-05,1.162297248840332,0.7914285659790039,0.9627681970596313
6,0.6970937252044678,9.999999747378752e-05,1.1235142946243286,0.8014285564422607,0.9265022277832031
7,0.7097830772399902,9.999999747378752e-05,1.0979583263397217,0.8142856955528259,0.8944966197013855
8,0.7257470488548279,9.999999747378752e-05,1.0545597076416016,0.8299999833106995,0.8740392327308655
9,0.736389696598053,9.999999747378752e-05,1.0349013805389404,0.8414285778999329,0.8494315147399902
10,0.7441670298576355,9.999999747378752e-05,1.0233886241912842,0.845714271068573,0.8331289887428284
11,0.7634056210517883,9.999999747378752e-05,0.9990171194076538,0.8485714197158813,0.818647563457489
12,0.7720016241073608,9.999999747378752e-05,0.9720633625984192,0.8514285683631897,0.8115314841270447
13,0.7814162969589233,9.999999747378752e-05,0.9587260484695435,0.8399999737739563,0.8066554665565491
14,0.7879655957221985,9.999999747378752e-05,0.9391844868659973,0.8571428656578064,0.7934585213661194
15,0.7814162969589233,9.999999747378752e-05,0.9530807137489319,0.8614285588264465,0.7879316806793213
16,0.7961522936820984,9.999999747378752e-05,0.9269471168518066,0.8657143115997314,0.7856135964393616
17,0.8166189193725586,9.999999747378752e-05,0.9012020826339722,0.8657143115997314,0.7712838053703308
18,0.8186655640602112,9.999999747378752e-05,0.8851451873779297,0.8785714507102966,0.7623788118362427
19,0.8203029036521912,9.999999747378752e-05,0.8871456980705261,0.8742856979370117,0.7714551687240601
20,0.8362668752670288,9.999999747378752e-05,0.8489851951599121,0.8885714411735535,0.7521132826805115
21,0.8383135199546814,9.999999747378752e-05,0.8719316124916077,0.8799999952316284,0.7444028258323669
22,0.8362668752670288,9.999999747378752e-05,0.863845705986023,0.8942857384681702,0.7344112992286682
23,0.8395415544509888,9.999999747378752e-05,0.8504281640052795,0.8914285898208618,0.739704966545105
24,0.8526402115821838,9.999999747378752e-05,0.8324215412139893,0.8999999761581421,0.7245995402336121
25,0.8485468626022339,9.999999747378752e-05,0.8428190350532532,0.8914285898208618,0.7271288633346558
26,0.8604175448417664,9.999999747378752e-05,0.8104886412620544,0.8928571343421936,0.7290461659431458
27,0.873106837272644,9.999999747378752e-05,0.7993443608283997,0.8857142925262451,0.7247675657272339
28,0.860008180141449,2.499999936844688e-05,0.8127886056900024,0.904285728931427,0.7086896300315857
29,0.874744176864624,2.499999936844688e-05,0.7916253805160522,0.9014285802841187,0.7057421803474426
30,0.8804748058319092,2.499999936844688e-05,0.7822549343109131,0.904285728931427,0.7042271494865417
31,0.8706508278846741,2.499999936844688e-05,0.8042272329330444,0.8985714316368103,0.7013416290283203
32,0.8808841705322266,2.499999936844688e-05,0.7879781126976013,0.9057142734527588,0.6984782814979553
33,0.878018856048584,2.499999936844688e-05,0.795759916305542,0.9014285802841187,0.7008671164512634
34,0.8849774599075317,2.499999936844688e-05,0.7764245271682739,0.9014285802841187,0.6983118057250977
35,0.8817028403282166,2.499999936844688e-05,0.7816704511642456,0.9028571248054504,0.6965941786766052
36,0.8800655007362366,2.499999936844688e-05,0.7775193452835083,0.9100000262260437,0.6944994330406189
37,0.8919361233711243,2.499999936844688e-05,0.7758825421333313,0.9114285707473755,0.6921532154083252
38,0.8821121454238892,2.499999936844688e-05,0.7737606763839722,0.9100000262260437,0.6910948157310486
39,0.8902987837791443,2.499999936844688e-05,0.7612531781196594,0.9085714221000671,0.6898680925369263
40,0.8939828276634216,2.499999936844688e-05,0.7623688578605652,0.918571412563324,0.6931706666946411
41,0.8825215101242065,2.499999936844688e-05,0.7665949463844299,0.9128571152687073,0.6870976686477661
42,0.8911174535751343,2.499999936844688e-05,0.7585152387619019,0.9142857193946838,0.6859601140022278
43,0.8960294723510742,2.499999936844688e-05,0.7452045679092407,0.9128571152687073,0.6858327984809875
44,0.8993041515350342,2.499999936844688e-05,0.7524914741516113,0.9157142639160156,0.6872413754463196
45,0.8890708088874817,2.499999936844688e-05,0.7620158791542053,0.918571412563324,0.6857737302780151
